Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
NPL,1991-01-01,1991-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1991,1991,7021,Annual value,LCU,80291.600000,I
NPL,1992-01-01,1992-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1992,1992,7021,Annual value,LCU,67149.300000,I
NPL,1993-01-01,1993-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,67990.600000,I
NPL,1994-01-01,1994-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,71168.600000,I
NPL,1995-01-01,1995-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,74601.000000,I
NPL,1996-01-01,1996-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1996,1996,7021,Annual value,LCU,73185.900000,I
NPL,1997-01-01,1997-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1997,1997,7021,Annual value,LCU,76167.700000,I
NPL,1998-01-01,1998-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1998,1998,7021,Annual value,LCU,71764.200000,I
NPL,1999-01-01,1999-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1999,1999,7021,Annual value,LCU,74949.800000,I
NPL,2000-01-01,2000-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2000,2000,7021,Annual value,LCU,77013.200000,I
NPL,2001-01-01,2001-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2001,2001,7021,Annual value,LCU,74405.000000,A
NPL,2002-01-01,2002-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,79974.000000,A
NPL,2003-01-01,2003-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2003,2003,7021,Annual value,LCU,82693.000000,A
NPL,2004-01-01,2004-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2004,2004,7021,Annual value,LCU,86634.000000,A
NPL,2005-01-01,2005-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2005,2005,7021,Annual value,LCU,85790.000000,A
NPL,2006-01-01,2006-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2006,2006,7021,Annual value,LCU,90080.000000,A
NPL,2007-01-01,2007-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2007,2007,7021,Annual value,LCU,110798.000000,A
NPL,2008-01-01,2008-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2008,2008,7021,Annual value,LCU,124550.400000,I
NPL,2009-01-01,2009-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2009,2009,7021,Annual value,LCU,128211.000000,I
NPL,2010-01-01,2010-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2010,2010,7021,Annual value,LCU,165143.800000,I
NPL,2011-01-01,2011-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,284722.200000,A
NPL,2012-01-01,2012-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2012,2012,7021,Annual value,LCU,293263.900000,A
NPL,2013-01-01,2013-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2013,2013,7021,Annual value,LCU,298260.000000,A
NPL,2014-01-01,2014-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2014,2014,7021,Annual value,LCU,301839.100000,A
NPL,2015-01-01,2015-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2015,2015,7021,Annual value,LCU,305461.200000,A
NPL,2016-01-01,2016-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2016,2016,7021,Annual value,LCU,297405.500000,A
NPL,2017-01-01,2017-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2017,2017,7021,Annual value,LCU,291457.400000,A
